target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Diatoms,LSTM_FC,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,,,,9,0.1791394922212024,0.26306742287817453,0.9711917929139893,0.6372483755139259,0.49654047587956285,0.4244811451337818,0.8044437823079452,0.9967782753818246,1.1123533210521979
Diatoms,LSTM_FC,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,,,,7,0.21346233403600212,0.2957496486959003,0.9923556332112436,0.683748740742182,0.47264861101650785,0.4775323205775874,0.8065106877506909,1.0187019740796677,1.151854237803372
Diatoms,LSTM_FC,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,,,,7,0.2135426407248091,0.2797486398901258,0.9304507814055093,0.6048820115878013,0.5371439967312802,0.5938746804653491,0.7686516442601291,0.9413825283069558,1.0813181716494429
Diatoms,LSTM_FC,trial_0004,hidden_dim,30,3,128,0.0,0.002,64,0.0,,,,,,7,0.21832916553045226,0.39096667440164656,1.1305604698625618,0.8134619345713668,0.3260470058149207,0.38180116532875985,1.0410492543833159,1.1306664530811092,1.2199657021232602
Diatoms,LSTM_FC,trial_0005,lr,30,3,256,0.0,0.001,64,0.0,,,,,,10,0.21367904451066647,0.30976368132091703,1.032073897917721,0.7206983523837032,0.435710286572257,0.40509162373753815,0.9062713404392866,1.0420506355287205,1.147899717785156
Diatoms,LSTM_FC,trial_0006,lr,30,3,256,0.0,0.003,64,0.0,,,,,,9,0.18625722266089131,0.2658734165486835,0.9559955081113806,0.5974163117803103,0.513268840830276,0.504242537430724,0.8069729578003957,0.9705303671316323,1.0904831994021136
Diatoms,LSTM_FC,trial_0007,dropout,30,3,256,0.1,0.002,64,0.0,,,,,,7,0.2215970627783079,0.28005061405045645,0.9713774317591758,0.6563523957046895,0.49683275745413397,0.4713769037188104,0.8130278849954092,0.9870982044883085,1.1140062057938094
Diatoms,LSTM_FC,trial_0008,dropout,30,3,256,0.2,0.002,64,0.0,,,,,,7,0.22716772525368265,0.3260300684542883,1.0409611880952239,0.7039255715186622,0.4259737148848883,0.4720220723091517,0.9120864839683822,1.056889209179969,1.1539078711373199
Diatoms,LSTM_FC,trial_0009,batch_size,30,3,256,0.0,0.002,32,0.0,,,,,,8,0.178548182480063,0.24826442060016451,0.927672192436973,0.6399026492669204,0.5419211304121477,0.5193714943951823,0.7871176544674208,0.9382450661111147,1.0576538567323832
Diatoms,LSTM_FC,trial_0010,weight_decay,30,3,256,0.0,0.002,32,0.0001,,,,,,7,0.201086584723532,0.25997042070542065,0.9292742303307451,0.6427265081804053,0.5374872993188672,0.5468398328707369,0.7584456266449989,0.9439218607605255,1.0854552035867107
Diatoms,LSTM_FC,trial_0001,grid,30,1,128,0.0,0.001,64,0.0,,,,,,15,0.18259613066396085,0.2890532705045882,1.0155956708246512,0.6566107953989659,0.44883842959705395,0.3843972251442495,0.8391371723667779,1.0331564394768127,1.174493400630363
Diatoms,LSTM_FC,trial_0002,grid,30,1,128,0.0,0.002,64,0.0,,,,,,10,0.16795171941646656,0.22872355864161537,0.9484385056674354,0.5997678686889242,0.5208194312419708,0.4060713263093012,0.7976585442593253,0.967330123803847,1.0803268489391338
Diatoms,LSTM_FC,trial_0003,grid,30,1,256,0.0,0.001,64,0.0,,,,,,10,0.19598115862034596,0.239357067715554,0.9441746004352002,0.6248165780155345,0.5267530956022658,0.4342275040465673,0.8144287661672038,0.9582798892761443,1.0598151458622527
Diatoms,LSTM_FC,trial_0004,grid,30,1,256,0.0,0.002,64,0.0,,,,,,6,0.21837735887629764,0.2325713826077325,0.8962039202199127,0.5879286341928927,0.5698734531389057,0.5436480908141829,0.7257795516740747,0.9270271925928864,1.0358050163927772
Diatoms,LSTM_FC,trial_0005,grid,30,2,128,0.0,0.001,64,0.0,,,,,,13,0.23651756232791293,0.29603860278924304,0.9912856089016954,0.692014527727796,0.4768501765960173,0.43319881120963233,0.8346105059671906,1.017203269906116,1.12204305083178
Diatoms,LSTM_FC,trial_0006,grid,30,2,128,0.0,0.002,64,0.0,,,,,,7,0.19521148786412804,0.3071132408721106,1.0186738265191913,0.7063264646369564,0.44654919131490933,0.40995822973832935,0.8511925408891637,1.0365612289134505,1.1682677097549596
Diatoms,LSTM_FC,trial_0007,grid,30,2,256,0.0,0.001,64,0.0,,,,,,9,0.17952830780129944,0.23817084232966104,0.936539937326316,0.6061513910345893,0.5334486381782245,0.45847173381648015,0.7938119093413273,0.9589443000502238,1.0568636025873972
Diatoms,LSTM_FC,trial_0008,grid,30,2,256,0.0,0.002,64,0.0,,,,,,9,0.16841362298153675,0.22519464648905255,0.8892878720548465,0.5565338748953175,0.5771571148565727,0.5524558709750168,0.7312260487096972,0.9073056481636885,1.0293319192911536
